CN,AH,Anhui 
CN,BJ,Beijing 
CN,CQ,Chongqing 
CN,FJ,Fujian 
CN,GD,Guangdong 
CN,GS,Gansu 
CN,GX,Guangxi
CN,GZ,Guizhou 
CN,HA,Henan 
CN,HB,Hubei 
CN,HE,Hebei 
CN,HI,Hainan 
CN,HK,Hong Kong
CN,HL,Heilongjiang 
CN,HN,Hunan 
CN,JL,Jilin 
CN,JS,Jiangsu 
CN,JX,Jiangxi 
CN,LN,Liaoning 
CN,MO,Macau
CN,NM,Inner Mongolia
CN,NX,Ningxia
CN,QH,Qinghai 
CN,SC,Sichuan 
CN,SD,Shandong 
CN,SH,Shanghai 
CN,SN,Shaanxi 
CN,SX,Shanxi 
CN,TJ,Tianjin 
CN,TW,Taiwan
CN,XJ,Xinjiang
CN,XZ,Tibet
CN,YN,Yunnan 
CN,ZJ,Zhejiang 
US,AL,Alabama
US,AK,Alaska
US,AZ,Arizona
US,AR,Arkansas
US,AA,Armed Forces America
US,AE,Armed Forces Europe
US,AP,Armed Forces Pacific
US,CA,California
US,CO,Colorado
US,CT,Connecticut
US,DE,Delaware
US,DC,District of Columbia
US,FL,Florida
US,GA,Georgia
US,HI,Hawaii
US,ID,Idaho
US,IL,Illinois
US,IN,Indiana
US,IA,Iowa
US,KS,Kansas
US,KY,Kentucky
US,LA,Louisiana
US,ME,Maine
US,MD,Maryland
US,MA,Massachusetts
US,MI,Michigan
US,MN,Minnesota
US,MS,Mississippi
US,MO,Missouri
US,MT,Montana
US,NE,Nebraska
US,NV,Nevada
US,NH,New Hampshire
US,NJ,New Jersey
US,NM,New Mexico
US,NY,New York
US,NC,North Carolina
US,ND,North Dakota
US,OH,Ohio
US,OK,Oklahoma
US,OR,Oregon
US,PA,Pennsylvania
US,RI,Rhode Island
US,SC,South Carolina
US,SD,South Dakota
US,TN,Tennessee
US,TX,Texas
US,UT,Utah
US,VT,Vermont
US,VA,Virginia
US,WA,Washington
US,WV,West Virginia
US,WI,Wisconsin
US,WY,Wyoming
CA,AB,Alberta
CA,BC,British Columbia
CA,MB,Manitoba
CA,NB,New Brunswick
CA,NL,Newfoundland and Labrador
CA,NT,Northwest Territories
CA,NS,Nova Scotia
CA,NU,Nunavut
CA,ON,Ontario
CA,PE,Prince Edward Island
CA,QC,Quebec
CA,SK,Saskatchewan
CA,YT,Yukon
